PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,SOLIDITY_SCORE,Normalized_COM_6M,Normalized_COM_3M,Normalized_52W_LOW,FINAL_THG,CS_FACTOR,Group
WAL PRA,WAL-A,WAL,NFF,,10.0,06/30/2025,9/30/2026,NONE,0.27,4.25%,,,110.43,Regionalbank,,40.0,,,,,,21.61,,,21.91,20.59,-1.37,4.95,19.57,23.0,13.04,23.0,21.46,1.89,-1.54,54.64,29.18,49.73,28.62,-1.54,8.42,26.1,39.89,41807.0,37450.0,35523.0,38260.0,57.79,,,,361.93,1.0,11.0
WBS PRG,WBS-G,WBS,,,8.0,06/13/2025,4/15/2018,NONE,0.41,6.50%,25.24,20.25,168.44,Regionalbank,,23.0,,,,,,23.98,3.73,-1.26,23.41,23.6,2.41,1.59,21.26,25.26,18.12,25.26,23.67,2.41,-1.59,36.36,41.09,40.38,29.31,-1.59,5.55,26.69,56.29,8576.0,10194.0,5357.0,8043.0,59.86,37.13,42.57,75.46,342.49,1.0,6.0
WCC PRA,WCC-A,WCC,NFF,,8.0,05/28/2025,6/22/2025,NONE,0.66,10.63%,,,48.81,Industrialdistribution,,7.0,,,,,,25.5,,,25.56,25.91,-0.23,-1.59,25.24,26.48,25.24,27.39,24.89,-0.35,-1.59,49.13,52.36,90.0,29.31,-2.5,-0.35,37.54,90.0,54381.0,62341.0,70414.0,62379.0,58.66,,,,425.56,1.0,9.0
WHFCL,WHFCL,WHF,,BB,8.0,07/28/2025,9/15/2025,9/15/2028,0.49,7.88%,,24.85,23.24,Assetmanagement,,68.0,,,,,,25.45,0.6,,25.34,25.34,0.44,0.42,25.01,25.73,24.54,27.41,25.33,0.32,-0.4,45.89,45.23,77.96,12.9,-2.08,0.79,32.53,83.49,2164.0,2206.0,2102.0,2157.0,44.84,,,,346.38,1.0,1.0
WSBCP,WSBCP,WSBC,NFF,,8.0,07/01/2025,11/15/2025,NONE,0.42,6.75%,,,95.79,Regionalbank,,41.0,,,,,,25.17,,,25.18,25.0,-0.05,0.69,24.42,25.6,21.01,25.6,24.94,0.52,-0.66,48.26,44.28,74.36,16.48,-0.66,3.93,15.6,65.54,7208.0,6100.0,7776.0,7028.0,55.1,,,,367.23,1.0,6.0
WTFCM,WTFCM,WTFC,NFF,,8.0,07/01/2025,7/15/2025,NONE,0.41,6.50%,,,66.87,Regionalbank,,41.0,,,,,,25.1,,,25.07,24.87,0.12,0.93,24.34,25.5,20.46,25.5,24.88,0.54,-0.62,47.44,43.42,74.0,15.93,-0.62,4.42,15.13,62.74,7727.0,9257.0,23479.0,13488.0,61.05,,,,379.27,1.0,6.0
WTFCP,WTFCP,WTFC,NFF,,8.0,07/14/2025,7/15/2025,NONE,0.43,6.88%,,,66.87,Regionalbank,,54.0,,,,,,25.16,,,25.16,25.09,0.01,0.28,24.68,25.49,22.47,25.49,24.99,0.31,-0.5,47.97,45.73,78.13,14.28,-0.5,2.52,13.7,73.6,36638.0,48974.0,35836.0,40483.0,61.05,,,,394.63,1.0,6.0
XFLT PRA,XFLT-A,XFLT,,,8.0,06/30/2025,3/31/2023,3/31/2026,0.41,6.50%,25.46,24.54,76.12,Cef,,40.0,,,,,,25.14,0.6,-0.32,25.12,24.96,0.1,0.72,24.61,25.45,24.21,25.45,24.91,0.3,-0.54,47.53,44.17,78.31,14.83,-0.54,0.7,14.17,84.0,3153.0,2176.0,1221.0,2183.0,46.7,,,,348.98,1.0,1.0
XOMAO,XOMAO,XOMA,,,8.0,06/30/2025,4/15/2022,NONE,0.52,8.38%,25.3,22.56,11.95,Biotechnology,,40.0,,,,,,25.3,2.74,0.0,25.3,25.33,-0.0,-0.11,23.32,25.87,20.43,25.87,25.01,1.69,-0.86,48.02,47.11,53.33,19.24,-0.86,4.58,17.99,61.83,3223.0,2764.0,4362.0,3449.0,46.95,,,,345.16,1.0,8.0
XOMAP,XOMAP,XOMA,,,,30/06/2025,12/15/2021,NONE,0.54,8.63%,25.92,22.76,11.95,Biotechnology,,,,,,,,25.41,2.65,-0.51,25.69,25.63,-1.08,-0.84,24.96,26.51,21.4,26.51,25.41,0.45,-1.1,53.24,49.7,75.62,22.55,-1.1,4.01,20.85,65.09,1253.0,1284.0,954.0,1164.0,46.95,,,,368.57,1.0,1.0
